Loop Number,Length (px)
438,31.999338251522865
525,32.00057465606086
319,31.99946865981551
419,30.99992273066692
145,31.000307250555835
365,31.000280271388593
93,30.998971005440417
123,30.999957963791815
7,30.999856593704628
150,30.999557930530614
266,30.999595646704588
220,30.99987163056836
214,30.999523376326493
210,30.99977404044508
78,29.999750628787282
338,30.000468928706873
512,29.999326770940616
305,29.999911369065902
200,29.99974985764194
467,29.9997535905181
188,30.00022844878064
161,29.99950286722671
278,30.00017525420355
469,30.0006178514695
102,30.000154615419007
114,30.000499301346693
341,29.999815682131505
197,30.0002469583115
495,29.999742527219002
431,29.999628776456444
417,28.999549468576472
157,29.00006123716405
257,28.999479453839875
441,29.00094106472227
218,29.000415667207214
480,28.999797275601036
262,29.00006570749092
339,28.99998048532661
413,29.00041727973423
64,28.999794034832853
77,28.99955003055101
483,29.000129926568828
537,28.999813484353268
396,29.00046739798509
228,29.00001832216736
526,28.000349642204682
115,27.999711802215185
288,28.00004064343413
237,27.99987887179467
451,27.999860702131027
494,27.999291231454425
156,28.000588376847737
182,27.99915627631178
462,27.99982133412121
478,27.99990999289037
559,27.999775204655847
221,28.000665360590858
314,27.99973585419259
320,28.000191568128137
184,28.000021418671203
245,28.000103845401743
261,27.999784373992995
498,27.00020206059855
372,26.999974762368193
259,26.999832395591024
380,26.99954729687868
501,27.00009691663556
10,27.000598714649705
487,27.000360064367136
273,27.00072859174917
423,26.99936198946689
345,27.000087598139306
211,26.999640006302094
173,26.99984737592408
291,26.999238702860016
561,26.000585365525087
103,25.9998413200519
104,26.000311676682976
488,25.999343983490718
260,25.998991154138015
447,25.999204981760528
552,26.000731346986285
491,25.99923442893922
230,26.000923388042214
246,26.00042754502191
445,26.000140489744524
452,25.999791261211534
500,24.999456576801986
315,25.000133959406302
547,24.9997683776605
430,24.999966363856984
444,25.00020534437833
567,25.000085791064386
516,24.999459297869816
311,24.999423289313793
212,25.000465559644894
327,25.000330863291605
414,25.000241049020076
313,24.999610882999555
420,24.999174150543155
227,24.99958318206637
80,24.999255168770098
24,24.99998550782585
355,25.000224937463045
241,25.000352316303136
455,25.000334566304467
519,24.999948494582597
58,25.00053704260129
158,24.000019137009666
543,23.999878372925593
133,23.99976826352968
254,23.99958947841299
564,24.00071511441054
550,24.00062573555496
556,24.0000747310629
442,23.999948229851107
34,23.999916857731797
300,24.00056451689202
366,24.000065538317045
513,24.000065909926544
466,23.999536733604575
222,24.001028674295
389,24.000168079572248
533,24.000865634257224
285,24.000522547587863
