OID,NCOORDS,LENGTH,MID,NCO.,LEN,MEAN DIST,MIN DIST,MAX DIST
58,92,90.9998,93,113,156.259,122.623,81.6015,165.262
58,92,90.9998,2126,50,43.9002,123.67,100.034,146.329
58,92,90.9998,1065,89,44.4133,127.34,122.024,133.295
58,92,90.9998,1125,36,44.0454,133.305,120.924,147.902
58,92,90.9998,2081,192,227.737,135.139,95.0205,176.715
58,92,90.9998,2080,67,75.9974,135.644,109.788,165.117
58,92,90.9998,1180,85,34.0216,137.649,129.145,151.384
58,92,90.9998,1184,194,237.294,140.664,97.7645,184.366
58,92,90.9998,2100,255,270.745,149.782,105.094,194.566
58,92,90.9998,2088,53,2.44172,150.566,147.97,157.016
58,92,90.9998,14,198,247.836,151.25,112.085,191.949
58,92,90.9998,54,118,35.3889,153.256,147.817,157.771
58,92,90.9998,2146,29,16.82,153.848,153.21,155.007
58,92,90.9998,91,70,30.0165,153.86,150.301,160.67
58,92,90.9998,1048,124,71.9647,154.765,142.536,168.721
58,92,90.9998,2147,26,35.8943,156.285,151.742,160.128
58,92,90.9998,2148,37,29.0569,156.288,155.752,156.987
58,92,90.9998,1150,72,20.6622,159.494,156.566,162.817
58,92,90.9998,1066,73,60.5357,160.558,157.601,163.815
58,92,90.9998,55,129,65.5153,163.002,155.932,169.823
58,92,90.9998,2054,84,78.8652,163.151,158.703,168.916
58,92,90.9998,1124,35,28.6429,166.054,157.287,177.512
58,92,90.9998,1247,93,92.1698,166.266,122.111,210.526
58,92,90.9998,2079,54,46.4091,167.739,151.759,188.382
58,92,90.9998,1183,71,37.8459,172.246,139.14,204.997
58,92,90.9998,58,117,128.874,172.996,166.86,181.123
58,92,90.9998,16,182,209.15,173.224,128.472,218.047
58,92,90.9998,1056,200,220.842,173.76,128.97,218.513
58,92,90.9998,50,73,81.7664,175.088,151.156,203.315
58,92,90.9998,90,110,35.4842,180.32,174.261,189.073
58,92,90.9998,1055,218,251.357,180.899,136.258,225.656
58,92,90.9998,57,99,109.549,182.8,175.269,193.168
58,92,90.9998,2131,48,65.7943,183.056,178.229,193.437
58,92,90.9998,1149,79,15.8805,184.695,181.638,187.536
58,92,90.9998,56,38,48.4782,187.218,184.027,194.197
58,92,90.9998,2144,91,12.2222,188.675,184.637,192.52
58,92,90.9998,1248,64,76.0087,190.937,184.703,203.018
58,92,90.9998,89,142,52.0758,191.429,184.634,201.501
58,92,90.9998,1102,109,31.6882,192.886,186.531,201.472
58,92,90.9998,1139,50,66.1191,193.874,188.021,205.492
58,92,90.9998,2168,24,19.0798,196.866,185.412,208.212
58,92,90.9998,2145,70,22.0248,200.001,197.133,203.843
58,92,90.9998,1177,19,18.5597,200.124,198.079,202.111
58,92,90.9998,142,155,181.434,200.873,162.017,240.85
58,92,90.9998,2091,78,85.9869,204.429,201.606,206.823
58,92,90.9998,1101,162,89.9614,205.029,198.682,214.607
58,92,90.9998,1059,127,138.36,205.893,200.79,211.586
58,92,90.9998,2092,119,130.542,206.282,201.324,211.682
58,92,90.9998,1127,72,66.1774,209.041,190.216,232.797
58,92,90.9998,2169,66,90.6669,210.704,184.616,235.847
58,92,90.9998,2057,155,78.7043,211.164,205.199,219.873
58,92,90.9998,1138,49,42.855,211.779,198.791,229.174
