Loop,x,y,Length,Intensity,Width
0,991.878,106.001,84.00011669274318,1.1016595,1
0,991.875,105.001,85.00012119273305,1.1016595,1
0,991.871,104.001,86.00012919270105,1.1016595,1
0,991.866,103.001,87.00014169262293,1.1016595,1
0,991.859,102.001,88.00016619232281,1.1016595,1
0,991.852,101.001,89.00019069202268,1.1016595,1
0,991.843,100.001,90.00023119120259,1.1016595,1
0,991.834,99.0009,91.00037168633315,1.1016595,1
0,991.826,98.001,92.00030368902134,1.1016595,1
0,991.816,97.001,93.0003536877714,1.1016595,1
0,991.806,96.0011,94.0003036915216,1.1016595,1
0,991.796,95.0011,95.00035369027165,1.1016595,1
0,991.786,94.0012,96.00030369402184,1.1016595,1
0,991.778,93.0012,97.00033569350985,1.1016595,1
0,991.77,92.0012,98.00036769299787,1.1016595,1
0,991.764,91.0012,99.00038569283588,1.1016595,1
0,991.759,90.0013,100.00029819400785,1.1016595,1
0,991.755,89.0013,101.00030619397586,1.1016595,1
0,991.752,88.0013,102.00031069396573,1.1016595,1
0,991.75,87.0013,103.00031269396374,1.1016595,1
0,991.75,86.0013,104.00031269396374,1.1016595,1
0,991.75,85.0013,105.00031269396374,1.1016595,1
0,991.752,84.0013,106.00031469396174,1.1016595,1
0,991.755,83.0013,107.00031919395161,1.1016595,1
0,991.76,82.0013,108.00033169387349,1.1016595,1
0,991.765,81.0013,109.00034419379537,1.1016595,1
1,986.872,911.979,0,1.1016595,0
1,986.903,910.98,0.999480865249581,1.1016595,1
1,986.935,909.98,1.9999927342446446,1.1016595,1
1,986.969,908.981,2.999571145376085,1.1016595,1
1,987.003,907.982,3.999149556507521,1.1016595,1
1,987.039,906.982,4.999797346691458,1.1016595,1
1,987.076,905.983,5.999482297063349,1.1016595,1
1,987.114,904.984,6.999204758549446,1.1016595,1
1,987.153,903.984,7.999964969589033,1.1016595,1
1,987.194,902.985,8.999805956946544,1.1016595,1
1,987.234,901.986,9.999606437042475,1.1016595,1
1,987.275,900.987,10.999447424399985,1.1016595,1
1,987.315,899.988,11.999247904495803,1.1016595,1
1,987.354,898.988,13.00000811553539,1.1016595,1
1,987.393,897.989,13.999769086968085,1.1016595,1
1,987.433,896.99,14.999569567064011,1.1016595,1
1,987.472,895.991,15.999330538496706,1.1016595,1
1,987.511,894.991,17.00009074953629,1.1016595,1
1,987.549,893.992,17.999813211022502,1.1016595,1
1,987.586,892.993,18.99949816139428,1.1016595,1
1,987.622,891.994,19.99914659959645,1.1016595,1
1,987.657,890.994,20.99975891213313,1.1016595,1
1,987.69,889.995,21.99930380857353,1.1016595,1
1,987.722,888.995,22.99981567756859,1.1016595,1
1,987.753,887.996,23.999296542818172,1.1016595,1
1,987.783,886.996,24.99974644161371,1.1016595,1
1,987.812,885.997,25.99916727389611,1.1016595,1
1,987.84,884.997,26.999559197094214,1.1016595,1
1,987.866,883.997,27.99989713999151,1.1016595,1
1,987.891,882.998,28.99920990384466,1.1016595,1
1,987.915,881.998,29.999497862384597,1.1016595,1
1,987.938,880.998,30.999762327413723,1.1016595,1
1,987.96,879.998,32.000004298138805,1.1016595,1
1,987.98,878.999,32.99920447828293,1.1016595,1
1,988.0,877.999,33.999404458286925,1.1016595,1
1,988.018,876.999,34.99956644516705,1.1016595,1
1,988.035,875.999,35.99971093472843,1.1016595,1
1,988.051,874.999,36.99983892653748,1.1016595,1
1,988.064,873.999,37.999923422967655,1.1016595,1
1,988.076,872.999,38.99999542037584,1.1016595,1
1,988.086,871.999,40.000045419125904,1.1016595,1
1,988.093,870.999,41.00006991882579,1.1016595,1
1,988.099,869.999,42.00008791866379,1.1016595,1
1,988.103,868.999,43.000095918631786,1.1016595,1
1,988.105,867.999,44.000097918629784,1.1016595,1
1,988.104,866.999,45.00009841862966,1.1016595,1
1,988.102,865.999,46.00010041862766,1.1016595,1
